date,price,volume
2019-01-24,92.6428,172400
2019-01-23,92.2588,168500
2019-01-22,92.8004,189200
2019-01-21,92.6231,40200
2019-01-18,92.5641,146000
2019-01-17,92.1801,146800
2019-01-16,91.9634,201400
2019-01-15,92.2785,130400
2019-01-14,92.0422,154500
2019-01-11,92.5641,233400
2019-01-10,91.3333,169300
2019-01-09,90.8016,244500
2019-01-08,89.5019,221000
2019-01-07,89.4822,201900
2019-01-04,88.8225,170600
2019-01-03,87.828,243000
2019-01-02,89.0194,216400
2018-12-31,88.665,135300
2018-12-28,88.2514,192500
2018-12-27,87.0896,329800
2018-12-24,86.1443,129400
2018-12-21,86.5579,611000
2018-12-20,88.0447,176600
2018-12-19,89.8071,486600
2018-12-18,90.2108,537000
2018-12-17,91.3431,347300
2018-12-14,91.4908,239000
2018-12-13,92.3868,311300
2018-12-12,90.7081,469400
2018-12-11,92.1082,500900
2018-12-10,93.293,195600
2018-12-07,92.8328,365700
2018-12-06,93.5574,399300
2018-12-05,94.4288,427000
2018-12-04,95.0261,343400
2018-12-03,95.173,346100
2018-11-30,94.0665,369600
2018-11-29,95.2219,776000
2018-11-28,93.0874,298300
2018-11-27,92.7055,284300
2018-11-26,92.9601,289700
2018-11-23,93.0188,157300
2018-11-22,92.0593,150000
2018-11-21,92.2943,548000
2018-11-20,92.353,504800
2018-11-19,92.6859,300800
2018-11-16,93.0188,452000
2018-11-15,92.2747,554200
2018-11-14,91.5991,518200
2018-11-13,91.7362,541000
2018-11-12,92.0397,492300
2018-11-09,91.8145,361900
2018-11-08,91.462,555500
2018-11-07,91.7949,465800
2018-11-06,91.2955,589000
2018-11-05,91.0605,1348200
2018-11-02,88.7106,1472000
2018-11-01,92.9993,734700
2018-10-31,93.7532,504700
2018-10-30,90.5122,164200
2018-10-29,89.347,102200
2018-10-26,89.0239,168100
2018-10-25,89.347,130300
2018-10-24,89.6702,130000
2018-10-23,89.8073,104900
2018-10-22,89.9052,133200
2018-10-19,90.101,190600
2018-10-18,89.347,158900
2018-10-17,88.4462,247000
2018-10-16,88.5637,149600
2018-10-15,88.0252,138100
2018-10-12,88.926,174500
2018-10-11,88.4952,217600
2018-10-10,89.6604,110200
2018-10-09,90.9528,152300
2018-10-05,91.6676,164200
2018-10-04,93.7042,179500
2018-10-03,94.3505,121800
2018-10-02,94.8205,173500
2018-10-01,94.9575,195300
2018-09-28,95.7311,156900
2018-09-27,96.1423,157500
2018-09-26,95.643,226400
2018-09-25,96.5046,209400
2018-09-24,96.6221,249500
2018-09-21,96.3675,302600
2018-09-20,96.3675,134000
2018-09-19,96.3577,154200
2018-09-18,96.9942,137500
2018-09-17,96.1031,76200
2018-09-14,95.1436,187200
2018-09-13,95.8682,106200
2018-09-12,95.4784,308500
2018-09-11,96.1861,591100
2018-09-10,95.8468,252500
2018-09-07,96.1764,202000
2018-09-06,96.2928,181600
2018-09-05,96.38,764300
2018-09-04,96.8162,84400
2018-08-31,98.5321,173800
2018-08-30,98.978,70400
2018-08-29,98.5515,84100
2018-08-28,98.4546,151400
2018-08-27,99.4531,59800
2018-08-24,99.4531,101200
2018-08-23,99.7342,124600
2018-08-22,99.7827,103300
2018-08-21,100.6939,138300
2018-08-20,101.4404,155700
2018-08-17,102.817,96100
2018-08-16,103.2144,199300
2018-08-15,101.0817,151200
2018-08-14,101.3434,105400
2018-08-13,99.773,101000
2018-08-10,99.8021,111800
2018-08-09,101.6149,86600
2018-08-08,101.4792,65100
2018-08-07,100.6164,184800
2018-08-03,102.7685,79000
2018-08-02,102.2547,102500
2018-08-01,102.0705,274700
2018-07-31,104.9109,213700
2018-07-30,106.3457,125600
2018-07-27,106.588,95900
2018-07-26,106.4523,218900
2018-07-25,104.8043,85600
2018-07-24,105.7252,70400
2018-07-23,106.5783,137900
2018-07-20,106.5105,72200
2018-07-19,107.5381,66600
2018-07-18,106.6268,134500
2018-07-17,107.7126,173100
2018-07-16,107.3054,149100
2018-07-13,106.5492,72500
2018-07-12,106.5105,144000
2018-07-11,104.116,162200
2018-07-10,102.7103,152400
2018-07-09,102.8364,102700
2018-07-06,103.0303,123300
2018-07-05,102.371,92700
2018-07-04,103.5828,19600
2018-07-03,103.6216,91300
2018-06-29,103.9803,126200
2018-06-28,104.0094,138300
2018-06-27,104.3777,156500
2018-06-26,104.0772,155600
2018-06-25,103.4277,220500
2018-06-22,102.8267,93300
2018-06-21,102.7103,184500
2018-06-20,103.7088,154700
2018-06-19,102.5262,158100
2018-06-18,102.3226,117700
2018-06-15,102.1868,462200
2018-06-14,100.7424,98800
2018-06-13,99.4434,94400
2018-06-12,100.0994,130300
2018-06-11,100.331,73900
