date,price,volume
2019-02-06,36.3024,1240774
2019-02-05,36.3371,1486768
2019-02-04,35.6138,1188464
2019-02-01,35.2819,1205562
2019-01-31,35.3612,1826858
2019-01-30,35.0293,1522598
2019-01-29,35.2373,1830600
2019-01-28,34.9054,1155006
2019-01-25,34.8162,1686510
2019-01-24,35.2324,1465410
2019-01-23,35.3364,1507380
2019-01-22,35.1581,1677280
2019-01-21,35.3215,534942
2019-01-18,35.485,1984812
2019-01-17,35.5197,1599002
2019-01-16,35.4008,2027646
2019-01-15,35.5643,1518708
2019-01-14,35.5395,1801408
2019-01-11,35.1333,2205674
2019-01-10,34.9599,1602074
2019-01-09,34.9649,2955588
2019-01-08,34.8162,2902962
2019-01-07,34.2267,2513656
2019-01-04,33.3994,2683370
2019-01-03,32.6068,1851632
2019-01-02,32.9981,1940998
2018-12-31,33.6422,1598272
2018-12-28,33.6124,2450500
2018-12-27,33.4886,2041030
2018-12-24,32.1609,1058266
2018-12-21,32.4582,6884414
2018-12-20,32.4582,1674132
2018-12-19,32.6464,2766582
2018-12-18,33.122,2894118
2018-12-17,32.8693,1855514
2018-12-14,33.2112,1629512
2018-12-13,33.6075,1886060
2018-12-12,33.6372,2095948
2018-12-11,34.0137,3144530
2018-12-10,33.1319,1518452
2018-12-07,32.9833,2158336
2018-12-06,34.093,1801094
2018-12-05,34.0682,1004440
2018-12-04,34.0632,1880340
2018-12-03,34.2559,1886246
2018-11-30,34.4436,3556358
2018-11-29,34.4979,2652392
2018-11-28,34.0484,5199684
2018-11-27,32.4776,2561856
2018-11-26,32.774,1718150
2018-11-23,32.4826,1025826
2018-11-22,32.1319,1039928
2018-11-21,32.2109,2396044
2018-11-20,31.7663,2036706
2018-11-19,32.1763,1442648
2018-11-16,32.4233,3572958
2018-11-15,32.4233,2471964
2018-11-14,33.0457,1479758
2018-11-13,32.8728,1600676
2018-11-12,32.69,2356732
2018-11-09,32.9271,1868164
2018-11-08,32.6653,2030104
2018-11-07,32.6555,1991206
2018-11-06,31.9787,1441010
2018-11-05,32.0232,3136964
2018-11-02,31.6478,3056424
2018-11-01,31.0254,2176496
2018-10-31,31.055,3273330
2018-10-30,30.7488,1760536
2018-10-29,29.8893,1891292
2018-10-26,29.9634,2143232
2018-10-25,30.3734,1688908
2018-10-24,29.9239,1516744
2018-10-23,30.4178,2220140
2018-10-22,30.4672,1994618
2018-10-19,30.2845,2038274
2018-10-18,30.1313,1723138
2018-10-17,30.6105,1574080
2018-10-16,30.7241,1409266
2018-10-15,30.5907,1243844
2018-10-12,30.4821,2093968
2018-10-11,30.3586,2991598
2018-10-10,30.1511,2592236
2018-10-09,30.7685,1560404
2018-10-05,30.6994,1250440
2018-10-04,30.976,1761092
2018-10-03,31.3218,1013316
2018-10-02,31.7416,2001616
2018-10-01,31.3959,1908154
2018-09-28,31.9145,1931822
2018-09-27,32.1467,1949936
2018-09-26,32.2307,1653980
2018-09-25,32.1022,1386870
2018-09-24,32.0973,1437838
2018-09-21,32.3294,3415510
2018-09-20,32.5517,1275398
2018-09-19,32.4974,2297460
2018-09-18,32.8926,2456552
2018-09-17,32.6011,1547088
2018-09-14,32.3196,1536434
2018-09-13,32.5122,1265956
2018-09-12,32.5122,1758374
2018-09-11,32.6206,1762530
2018-09-10,32.4974,1963784
2018-09-07,32.6107,2059410
2018-09-06,32.5073,5004270
2018-09-05,31.0988,2064046
2018-09-04,30.8772,1735096
2018-08-31,30.7689,1522782
2018-08-30,31.0988,1313634
2018-08-29,30.8034,1095712
2018-08-28,30.6015,1063040
2018-08-27,30.8428,1039438
2018-08-24,30.6359,888164
2018-08-23,30.6704,1746228
2018-08-22,31.0545,2100174
2018-08-21,30.7098,1226260
2018-08-20,30.5916,921258
2018-08-17,31.0102,1413456
2018-08-16,30.6064,1726688
2018-08-15,30.2223,1804238
2018-08-14,30.0745,1187480
2018-08-13,29.6412,1416782
2018-08-10,29.5476,1644830
2018-08-09,29.8972,1216558
2018-08-08,29.7643,1447452
2018-08-07,29.5378,1616260
2018-08-03,29.5427,1112028
2018-08-02,29.4491,982782
2018-08-01,29.459,1639470
2018-07-31,29.4245,1815872
2018-07-30,29.3802,709576
2018-07-27,29.6461,1066890
2018-07-26,29.5673,761120
2018-07-25,29.3851,1318574
2018-07-24,29.5378,1195850
2018-07-23,29.7003,1231326
2018-07-20,29.7938,1170234
2018-07-19,30.3158,1107586
2018-07-18,30.0745,1793642
2018-07-17,30.5374,1183560
2018-07-16,30.8034,1858056
2018-07-13,30.8279,2241236
2018-07-12,30.5334,3005776
2018-07-11,29.6007,3191544
2018-07-10,29.8461,6730714
2018-07-09,27.9808,1413238
2018-07-06,27.4997,1290870
2018-07-05,27.1757,1349318
2018-07-04,27.4211,235754
2018-07-03,27.2248,1441724
2018-06-29,28.0348,1628418
2018-06-28,28.4765,1698738
2018-06-27,28.2017,1505232
2018-06-26,28.4226,2823598
2018-06-25,28.2115,2909704
2018-06-22,28.5895,1563018
2018-06-21,28.0544,1125730
2018-06-20,27.9808,2087000
2018-06-19,27.7353,1729458
2018-06-18,27.4359,1048776
2018-06-15,27.0481,5384028
2018-06-14,26.8959,1184034
2018-06-13,26.4344,1323088
2018-06-12,26.5179,1820474
2018-06-11,26.4983,1822104
2018-06-08,26.4541,1895924
2018-06-07,26.3608,1602878
2018-06-06,27.3426,1463874
2018-06-05,27.3917,2294918
2018-06-04,27.3377,1563222
2018-06-01,26.7241,1353482
2018-05-31,26.5768,1931746
2018-05-30,26.8173,1210348
2018-05-29,26.7781,1321512
2018-05-28,26.7486,983326
2018-05-25,26.7977,1507830
2018-05-24,26.5081,1612504
2018-05-23,26.5375,2188466
2018-05-22,25.649,3189426
2018-05-18,25.8503,2845366
2018-05-17,26.3608,1748298
2018-05-16,26.6112,2271062
2018-05-15,26.4344,2103980
2018-05-14,26.5572,1805820
2018-05-11,26.3117,1924630
2018-05-10,26.5277,1851552
2018-05-09,26.3068,2003780
2018-05-08,26.7535,2176442
2018-05-07,26.7339,1959896
2018-05-04,26.7486,1706458
2018-05-03,26.5474,1726396
2018-05-02,26.5474,1549136
2018-05-01,27.1413,1097584
2018-04-30,27.2493,1797462
2018-04-27,27.8384,1494714
2018-04-26,26.8664,1511178
2018-04-25,26.459,1644850
2018-04-24,26.351,1765286
2018-04-23,26.5326,1200074
2018-04-20,25.9386,2348766
2018-04-19,25.8994,1254288
2018-04-18,26.3265,1436558
2018-04-17,26.1154,2633736
2018-04-16,26.2725,1163892
2018-04-13,26.5032,2059844
2018-04-12,26.6014,1552772
2018-04-11,26.5228,1906802
2018-04-10,26.837,2842676
2018-04-09,27.4162,1783000
2018-04-06,27.2837,1335446
2018-04-05,27.5684,1609328
2018-04-04,27.9218,1801494
2018-04-03,27.8777,1611132
2018-04-02,28.128,961632
2018-03-29,28.3097,1754220
2018-03-28,27.9709,1822262
2018-03-27,27.1266,2306828
2018-03-26,27.2783,1987626
2018-03-23,27.6208,2580554
2018-03-22,28.1003,3037292
2018-03-21,28.5505,3100252
2018-03-20,29.1621,6546818
2018-03-19,31.1731,1657596
2018-03-16,30.9969,5476134
2018-03-15,31.2954,1156540
2018-03-14,30.9431,1003456
2018-03-13,30.4391,2255656
2018-03-12,31.315,1574780
2018-03-09,31.315,1139352
2018-03-08,30.7327,1234778
2018-03-07,30.8208,710186
2018-03-06,30.9333,1414384
2018-03-05,30.7278,1154220
2018-03-02,30.9823,1125252
2018-03-01,30.6202,1392894
2018-02-28,30.5272,2675412
2018-02-27,30.8648,1121020
2018-02-26,30.3804,1040480
2018-02-23,30.537,606240
2018-02-22,30.5223,905034
2018-02-21,30.4636,836130
2018-02-20,30.5664,904854
2018-02-16,30.811,1111574
2018-02-15,30.493,1404334
2018-02-14,29.9107,1189774
2018-02-13,30.1211,2108234
2018-02-12,30.1847,3137096
2018-02-09,30.2826,1559674
2018-02-08,30.3021,2253334
2018-02-07,30.4147,1523970
2018-02-06,30.5125,2098160
2018-02-05,30.1602,2255812
2018-02-02,30.3511,3136538
2018-02-01,31.0312,1987848
2018-01-31,31.4862,1388976
2018-01-30,31.7553,2091654
2018-01-29,32.3474,1580166
2018-01-26,32.8318,1026174
2018-01-25,32.8171,1782538
2018-01-24,32.4404,1532668
2018-01-23,32.4991,1437724
2018-01-22,32.5284,1902416
2018-01-19,32.2887,1588358
2018-01-18,32.044,1621752
2018-01-17,31.6869,1894644
2018-01-16,31.8532,1926310
2018-01-15,31.5352,651842
2018-01-12,31.8679,1250106
2018-01-11,32.1908,973766
2018-01-10,32.504,1662208
2018-01-09,32.5138,780908
2018-01-08,32.3474,961674
2018-01-05,32.1957,1242692
2018-01-04,32.2349,1442294
2018-01-03,32.0245,2298006
2018-01-02,31.9511,894238
2017-12-29,32.093,864078
2017-12-28,32.2202,808792
2017-12-27,32.1566,1006444
2017-12-22,32.0,832524
2017-12-21,31.9951,1265848
2017-12-20,32.0832,1812932
2017-12-19,32.5235,1217514
2017-12-18,32.7535,1100492
2017-12-15,32.8563,5926298
2017-12-14,32.778,1342780
2017-12-13,32.7584,1638762
2017-12-12,32.8073,2208284
2017-12-11,32.6508,865422
2017-12-08,32.5333,999830
2017-12-07,32.4844,1108016
2017-12-06,32.3719,1230964
2017-12-05,32.1174,1370092
2017-12-04,32.0394,959506
2017-12-01,32.0247,1415578
2017-11-30,32.1028,3232846
2017-11-29,32.0003,2668874
2017-11-28,31.5953,3545246
2017-11-27,31.3562,1084444
2017-11-24,31.2684,511910
2017-11-23,31.1366,228392
2017-11-22,31.2147,633200
