date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
1999-05-20,,,,,,,,,,,,,,,,,,101.91,,,
1999-05-21,,,,,,,,,,,,,,,,,,102.44,,,
1999-05-24,,,,,,,,,,,,,,,,,,102.44,,,
1999-05-25,,,,,,,,,,,,,,,,,,102.48,,,
1999-05-26,,,,,,,,,,,,,,,,,,101.76,,,
1999-05-27,,,,,,,,,,,,,,,,,,101.59,,,
1999-05-28,,,,,,,,,,,,,,,,,,101.82,,,
1999-05-31,,,,,,,,,,,,,,,,,,101.42,,,
1999-06-01,,,,,,,,,,,,,,,,,,101.01,,,
1999-06-02,,,,,,,,,,,,,,,,,,101.35,,,
1999-06-03,,,,,,,,,,,,,,,,,,101.6,,,
1999-06-04,,,,,,,,,,,,,,,,,,102.04,,,
1999-06-07,,,,,,,,,,,,,,,,,,101.74,,,
1999-06-08,,,,,,,,,,,,,,,,,,101.67,,,
1999-06-09,,,,,,,,,,,,,,,,,,101.48,,,
1999-06-10,,,,,,,,,,,,,,,,,,102.28,,,
1999-06-11,,,,,,,,,,,,,,,,,,102.13,,,
1999-06-14,,,,,,,,,,,,,,,,,,102.5,,,
1999-06-15,,,,,,,,,,,,,,,,,,102.17,,,
1999-06-16,,,,,,,,,,,,,,,,,,102.63,,,
1999-06-17,,,,,,,,,,,,,,,,,,102.34,,,
1999-06-18,,,,,,,,,,,,,,,,,,102.11,,,
1999-06-21,,,,,,,,,,,,,,,,,,101.76,,,
1999-06-22,,,,,,,,,,,,,,,,,,101.82,,,
1999-06-23,,,,,,,,,,,,,,,,,,101.71,,,
1999-06-24,,,,,,,,,,,,,,,,,,101.87,,,
1999-06-25,,,,,,,,,,,,,,,,,,102.26,,,
1999-06-28,,,,,,,,,,,,,,,,,,101.92,,,
1999-06-29,,,,,,,,,,,,,,,,,,101.44,,,
1999-06-30,,,,,,,,,,,,,,,,,,101.77,,,
1999-07-01,,,,,,,,,,,,,,,,,,101.77,,,
1999-07-02,,,,,,,,,,,,,,,,,,102.31,,,
1999-07-05,,,,,,,,,,,,,,,,,,102.21,,,
1999-07-06,,,,,,,,,,,,,,,,,,102.1,,,
1999-07-07,,,,,,,,,,,,,,,,,,102.09,,,
1999-07-08,,,,,,,,,,,,,,,,,,102.19,,,
1999-07-09,,,,,,,,,,,,,,,,,,102.0,,,
1999-07-12,,,,,,,,,,,,,,,,,,101.55,,,
1999-07-13,,,,,,,,,,,,,,,,,,101.36,,,
