ticker,exchange,name,market_value,sector,date_of_listing
TRZ,TSX,Transat A.T. Inc.,574133239,Consumer Products & Services,1993-03-30
TNP,TSX,TransAtlantic Petroleum Ltd.,52292307,Oil & Gas,1995-01-16
TCL,TSX,Transcontinental Inc.,1249603619,Comm & Media,1985-03-21
TGL,TSX,TransGlobe Energy Corporation,127674045,Oil & Gas,1997-11-07
TSL,TSX,Tree Island Steel Ltd.,62019969,Industrial Products & Services,2002-11-11
TCW,TSX,Trican Well Service Ltd.,271167579,Industrial Products & Services,1996-12-09
TOS,TSX,TSO3 Inc.,39796953,Life Sciences,2002-12-20
TRQ,TSX,Turquoise Hill Resources Ltd.,1167142392,Mining,1996-06-26
TVA,TSX,TVA Group Inc.,72715950,Comm & Media,1980-11-13
TWC,TSX,TWC Enterprises Limited,351990071,Consumer Products & Services,1997-12-24
UEX,TSX,UEX Corporation,55300943,Mining,2002-07-16
UNS,TSX,Uni-Select Inc.,457358967,Consumer Products & Services,1992-09-09
UNC,TSX,United Corporations Limited,1121754495,Closed-End Funds,1942-12-04
VNR,TSX,Valener Inc.,1116913213,Utilities & Pipelines,2000-10-01
VLN,TSX,Velan Inc.,41782039,Industrial Products & Services,1996-09-18
VET,TSX,Vermilion Energy Inc.,2940309743,Oil & Gas,1996-06-27
VFF,TSX,Village Farms International Inc.,684888250,Clean Technology,2003-12-19
VGZ,TSX,Vista Gold Corp.,129693428,Mining,1984-10-19
WJX,TSX,Wajax Corporation,317917949,Industrial Products & Services,1966-08-15
WFC,TSX,Wall Financial Corporation,769043717,Real Estate,1973-02-01
WM,TSX,Wallbridge Mining Company Limited,199693016,Mining,2000-07-24
WBR,TSX,Waterloo Brewing Ltd.,113160592,Consumer Products & Services,1986-12-11
WDO,TSX,Wesdome Gold Mines Ltd.,996462521,Mining,1989-03-09
WFT,TSX,West Fraser Timber Co. Ltd.,3112990736,Industrial Products & Services,1986-05-07
W,TSX,Westcoast Energy Inc.,423700000,Utilities & Pipelines,1961-07-28
WJA,TSX,WestJet Airlines Ltd.,3568950822,Industrial Products & Services,1999-07-13
WPRT,TSX,Westport Fuel Systems Inc.,473502191,Clean Technology,1999-06-30
WTE,TSX,Westshore Terminals Investment Corporation,1457321256,Industrial Products & Services,1997-01-29
WCM,TSX,Wilmington Capital Management Inc.,43444840,Financial Services,1972-11-30
WPK,TSX,Winpak Ltd.,3039400000,Industrial Products & Services,1986-08-27
YRI,TSX,Yamana Gold Inc.,4571521638,Mining,1995-02-09
Y,TSX,Yellow Pages Limited,232744303,Comm & Media,2003-07-28
YRB,TSX,Yorbeau Resources Inc.,9796470,Mining,1987-09-17
ZAR,TSX,Zargon Oil & Gas Ltd.,8162890,Oil & Gas,1994-03-29
